"filename", "language", "XML", "Java", "Markdown", "comment", "blank", "total"
"d:\GitHub\Bitwig Extensions\BeatBuddy\LICENSE.md", "Markdown", 0, 0, 17, 0, 5, 22
"d:\GitHub\Bitwig Extensions\BeatBuddy\README.md", "Markdown", 0, 0, 19, 0, 7, 26
"d:\GitHub\Bitwig Extensions\BeatBuddy\dependency-reduced-pom.xml", "XML", 144, 0, 0, 0, 1, 145
"d:\GitHub\Bitwig Extensions\BeatBuddy\pom.xml", "XML", 173, 0, 0, 2, 13, 188
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\assembly\distribution.xml", "XML", 25, 0, 0, 0, 2, 27
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\BeatBuddyExtension.java", "Java", 0, 176, 0, 38, 57, 271
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\BeatBuddyExtensionDefinition.java", "Java", 0, 71, 0, 1, 16, 88
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\ClipUtils.java", "Java", 0, 89, 0, 53, 19, 161
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\CustomPresetsHandler.java", "Java", 0, 140, 0, 47, 26, 213
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\DefaultPatterns.java", "Java", 0, 192, 0, 13, 7, 212
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\DrumPatternGenerator.java", "Java", 0, 115, 0, 69, 22, 206
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\GlobalPreferences.java", "Java", 0, 302, 0, 29, 55, 386
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\MoveStepsHandler.java", "Java", 0, 91, 0, 19, 17, 127
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\NoteDestinationSettings.java", "Java", 0, 150, 0, 99, 27, 276
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\PatternSettings.java", "Java", 0, 149, 0, 65, 29, 243
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\PostActionSettings.java", "Java", 0, 45, 0, 7, 17, 69
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\RandomPattern.java", "Java", 0, 31, 0, 2, 5, 38
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\StepSizeSettings.java", "Java", 0, 34, 0, 0, 11, 45
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\Utils.java", "Java", 0, 91, 0, 40, 20, 151
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\utils\PopupUtils.java", "Java", 0, 13, 0, 6, 5, 24
"d:\GitHub\Bitwig Extensions\BeatBuddy\src\main\java\com\centomila\utils\SettingsHelper.java", "Java", 0, 60, 0, 63, 13, 136
"Total", "-", 342, 1749, 36, 553, 374, 3054
